,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pron,propn,sconj,verb,fable_name,work_id
136,4,5,1,0,2,4,0,11,0,1,1,0,0,8,Babrius - 29) The Old Age of the Race Horse,tlg0614.tlg001
137,11,1,15,1,4,6,0,19,0,1,5,0,0,21,Babrius - 36) The Oak and the Reeds,tlg0614.tlg001
138,4,3,5,1,2,2,0,8,0,0,5,0,0,7,Babrius - 90) More Fearsome than Ever,tlg0614.tlg001
139,3,0,6,0,3,2,0,10,0,1,4,0,2,12,Babrius - 70) War and his Bride,tlg0614.tlg001
140,11,5,17,1,4,16,0,29,0,1,8,0,3,19,Babrius - 59) Momus the Fault-Finder,tlg0614.tlg001
141,11,2,14,1,4,6,0,16,0,1,9,0,1,19,Babrius - 93) Peace by Surrender,tlg0614.tlg001
142,8,5,11,0,2,6,1,22,0,1,8,0,1,19,Babrius - 34) A Case of Indigestion,tlg0614.tlg001
143,25,10,19,1,12,18,0,57,0,0,14,0,3,52,Babrius - 108) The Country Mouse and the City Mouse,tlg0614.tlg001
144,11,1,13,0,5,8,0,15,0,1,4,0,3,25,Babrius - 16) The Disappointed Wolf,tlg0614.tlg001
145,3,2,4,0,0,5,0,8,0,0,5,0,1,9,Babrius - 113) Enemy Infiltration,tlg0614.tlg001
146,27,8,16,0,6,7,0,37,0,13,4,0,3,39,Babrius - 129) Failure to Qualify as a Household Pet,tlg0614.tlg001
147,11,0,15,0,3,8,0,18,0,0,8,0,1,19,Babrius - 100) Freedom Preferred to Security,tlg0614.tlg001
148,12,5,12,1,4,7,0,28,0,4,1,0,2,21,Babrius - 15) The Athenian and the Theban,tlg0614.tlg001
149,2,8,3,0,1,4,0,10,0,1,2,0,0,9,Babrius - 80) Dancing is Not for the Camel,tlg0614.tlg001
150,12,6,16,1,6,16,0,27,0,0,5,0,3,33,Babrius - 111) A Backfiring Stratagem,tlg0614.tlg001
151,7,2,13,1,4,4,0,9,0,0,4,0,0,14,Babrius - 27) The Unappreciated Weasel,tlg0614.tlg001
152,9,1,6,2,3,1,0,9,1,0,4,0,0,8,Babrius - 35) Coddled to Death,tlg0614.tlg001
153,11,1,8,1,5,4,0,10,0,0,5,0,2,17,Babrius - 48) Unwelcome Attentions,tlg0614.tlg001
154,17,3,13,2,3,6,0,18,0,2,10,0,2,22,Babrius - 6) The Fisherman and the Little Fish,tlg0614.tlg001
155,11,3,17,1,3,7,0,18,0,0,9,0,1,24,Babrius - 116) A Domestic Triangle,tlg0614.tlg001
156,6,2,3,0,1,6,0,14,0,0,2,0,0,10,Babrius - 79) The Dog and his Shadow,tlg0614.tlg001
157,4,6,10,0,5,11,0,19,0,0,3,0,0,27,Plutarch - Renting the Ass or its Shadow (Lives of the Ten Orators (Moralia 848A-B)),tlg0007.tlg121
