,work_id,fable_name,top_frequency,top_frequency_in_work,top_tf-idf,top_ctf-idf,x_umap,y_umap
30,tlg0614.tlg001,Babrius - 118) Close to the Law but Far from Justice,οὗτος δέ χελιδών ὅπου ἄνθρωπος,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,χελιδών ὅπου μηδείς ἔαρ ἑπτά,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.5123627,4.033506
31,tlg0614.tlg001,Babrius - 22) The Middle-Aged Man with Two Mistresses,νέος μέν γραῖος δʼ τίλλω,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,γραῖος νέος θρίξ τίλλω μέλας,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.1899682,3.6101303
32,tlg0614.tlg001,Babrius - 107) The Lion and the Mouse,καί λέων μῦθος ὅδε δʼ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,λέων ὅδε προπηδέω στερρόν ἀντιζωγρέω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.3970513,5.135999
33,tlg0614.tlg001,Babrius - 105) The Robber Robbed,λύκος δίκαιος καί αὐτός λέων,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,λύκος δίκαιος λέων τιτερώσκφ αἰτιάομαι,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.5326278,5.6688867
34,tlg0614.tlg001,Babrius - 49) It Won't be Fortune's Fault,καί ἐγώ μή παρά γάρ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,παρά ἐπιστάσης κεχρη δοξάζω αὐτεξοόσιυς,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.3783617,1.3534595
35,tlg0614.tlg001,Babrius - 112) The Battle of the Bull and the Mouse,δʼ μῦς καί φεύγω οὐ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μῦς ταῦρος δʼ φεύγω κοπόω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.6929998,5.3857775
36,tlg0614.tlg001,Babrius - 75) Mistaken for a Physician,ἰατρός δέ οὐ σύ εἰμί,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἰατρός σύ ἀλλʼ οὐ εἰμί,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.4564068,3.6270976
37,tlg0614.tlg001,Babrius - 123) Whow Covets all Loses all,πολύς εὑρίσκω γάρ ἀτευκτάω εἰμί,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,εὑρίσκω χρύσεʼ ἀθρόος τικτουσης ἀτευκτάω,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.1459649,2.8789527
38,tlg0614.tlg001,Babrius - 99) Bonded Brotherhood,μή φίλος σύ πιστεύω λέων,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,πιστεύω λέων φίλος αἰετέω ἐνέχυρον,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.0600035,4.935096
39,tlg0614.tlg001,Babrius - 28) The Toad who Tried to be as Big as an Ox,ἔρχομαι δέ εἰμί μήτηρ μῆτερ,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,μήτηρ ἐπικίνδυνος φυσῶσʼ φρῦνος γέννημα,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.8396955,2.5733805
40,tlg0614.tlg001,Babrius - 2) The Farmer who Lost his Mattock,ὅς θεός οὐ δʼ οἶδα,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,θεός ὅς οἶδα δεσπόται ἀγροίκων,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.449091,3.1936452
41,tlg0614.tlg001,Babrius - 43) Betrayed by the Source of his own Pride,καί δέ κέρας δʼ ὡς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,κέρας πούς εἶδον σαγήνη δύστηνος,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-2.1825256,4.071973
42,tlg0614.tlg001,Babrius - 124) How the Fowler Served his Guest,δέ τίς εἶπον ἔχω οὐδείς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,πέρδικ δειπνέω τίς φίλος οὐδείς,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-3.2364078,4.001909
43,tlg0614.tlg001,Babrius - 57) How the Arabs Got to be Liars,καί τε ἄλλος αὐτός ὡς,δʼ καί δέ ἐγώ εἰμί οὐ τις αὐτός σύ εἶπον,ἄμαξα ἄλλος τε ἀράβων ψεῦσταί,μῦθος κακός τε ποτʼ λέων εἶδον φημί φεύγω λύκος ἀνήρ,-1.9328771,1.3188852
